Номер платежа | Дата | Общая сумма платежа | Проценты | Сумма погашения долга | Остаток долга
1 | 2023-09-03 | 2238.6289551572636 | 291.66666666666663 | 1946.962288490597 | 48053.0377115094
2 | 2023-10-03 | 2238.6289551572636 | 280.3093866504715 | 1958.3195685067922 | 46094.71814300261
3 | 2023-11-03 | 2238.6289551572636 | 268.8858558341819 | 1969.7430993230817 | 44124.97504367953
4 | 2023-12-03 | 2238.6289551572636 | 257.3956877547972 | 1981.2332674024665 | 42143.741776277064
5 | 2024-01-03 | 2238.6289551572636 | 245.8384936949495 | 1992.7904614623142 | 40150.95131481475
6 | 2024-02-03 | 2238.6289551572636 | 234.2138826697527 | 2004.4150724875108 | 38146.536242327245
7 | 2024-03-03 | 2238.6289551572636 | 222.52146141357557 | 2016.107493743688 | 36130.42874858356
8 | 2024-04-03 | 2238.6289551572636 | 210.7608343667374 | 2027.868120790526 | 34102.560627793035
9 | 2024-05-03 | 2238.6289551572636 | 198.931603662126 | 2039.6973514951376 | 32062.863276297896
10 | 2024-06-03 | 2238.6289551572636 | 187.0333691117377 | 2051.595586045526 | 30011.26769025237
11 | 2024-07-03 | 2238.6289551572636 | 175.06572819313882 | 2063.5632269641246 | 27947.704463288246
12 | 2024-08-03 | 2238.6289551572636 | 163.02827603584808 | 2075.6006791214154 | 25872.10378416683
13 | 2024-09-03 | 2238.6289551572636 | 150.9206054076398 | 2087.7083497496237 | 23784.395434417205
14 | 2024-10-03 | 2238.6289551572636 | 138.74230670076702 | 2099.8866484564965 | 21684.50878596071
15 | 2024-11-03 | 2238.6289551572636 | 126.49296791810411 | 2112.1359872391595 | 19572.37279872155
16 | 2024-12-03 | 2238.6289551572636 | 114.17217465920903 | 2124.4567804980547 | 17447.916018223495
17 | 2025-01-03 | 2238.6289551572636 | 101.77951010630372 | 2136.8494450509597 | 15311.066573172535
18 | 2025-02-03 | 2238.6289551572636 | 89.31455501017311 | 2149.3144001470905 | 13161.752173025445
19 | 2025-03-03 | 2238.6289551572636 | 76.77688767598175 | 2161.8520674812817 | 10999.900105544162
20 | 2025-04-03 | 2238.6289551572636 | 64.1660839490076 | 2174.462871208256 | 8825.437234335906
21 | 2025-05-03 | 2238.6289551572636 | 51.481717200292785 | 2187.147237956971 | 6638.289996378935
22 | 2025-06-03 | 2238.6289551572636 | 38.72335831221045 | 2199.905596845053 | 4438.384399533882
23 | 2025-07-03 | 2238.6289551572636 | 25.890575663947644 | 2212.7383794933157 | 2225.6460200405663
24 | 2025-08-03 | 2238.6289551572636 | 12.982935116903302 | 2225.6460200403603 | 2.0600054995156825e-10
